1	2	3	4	5	6	7	8	9	10
LINC00152	6.847305	6.455178	6.751631	6.676158	6.774628	7.021811	6.802937	6.569315	6.791615	6.559166
ADAM32	5.876439	5.833458	5.865754	5.892272	5.617477	5.951623	5.780492	5.926531	6.352092	5.85188
TIMD4	6.304825	6.279381	6.48075	6.412426	6.502454	6.284374	6.36135	6.149531	6.355528	6.3195
ATP6V1E2	7.106828	7.580813	7.0049	7.441765	6.677228	6.616286	6.908059	7.324656	7.581745	7.083455
BEST4	6.244867	6.162785	6.304397	6.336856	6.235843	6.164825	6.182932	6.067729	6.39416	6.240185
CORO6	6.615496	6.529526	6.637244	6.478465	6.777454	7.456596	6.589331	6.426819	7.534758	6.693959
C15orf40	8.254156	8.714918	8.02197	8.612214	7.66169	8.354959	8.595518	8.22948	7.768817	8.263859
RAX2	7.266708	6.742189	6.985888	6.704517	7.395649	6.826596	6.82465	6.859274	7.177469	6.899068
CATSPER1	6.945948	7.021105	6.956805	7.155886	7.153211	7.228439	7.159451	7.167857	7.267337	6.904698
HOXD4	6.126577	6.415748	6.352685	6.273229	6.423919	6.041823	6.512849	6.114954	6.062418	6.291502
GSC	6.232743	6.143185	6.325751	6.206673	6.163642	6.237542	6.377084	6.25769	6.318921	6.18121
SP7	6.649296	6.443424	6.498376	6.368555	6.492347	6.518834	6.454914	6.315916	6.599136	6.449561
LEAP2	6.960517	7.317203	6.806129	6.972925	7.23146	6.882935	7.186724	7.148562	7.398756	7.026335
CTCFL	5.984497	6.041168	6.248179	9.884968	6.0777	5.9624	6.031213	5.850066	6.072816	6.089421
FAM18B2	7.51346	7.250357	7.683471	7.271629	7.460632	7.247889	7.336001	7.275058	7.431942	7.382643
GAPT	5.992119	5.977757	6.43862	6.009586	6.122862	5.913963	6.186755	6.034496	5.808852	5.895319
FLJ30901	6.887571	6.939897	6.843329	6.990524	7.062718	6.969444	7.061591	7.058715	7.195196	6.770641
C1orf65	6.221384	6.112576	6.198171	6.192096	6.236323	6.225662	6.261635	6.176841	6.127539	6.128348
